,Año,Cve..Municipio,Municipio,Bien.jurídico.afectado,Tipo.de.delito,Subtipo.de.delito,Modalidad,Mes,Carpetas
44,2015,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
238,2015,14003,Ahualulco de Mercado,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
239,2015,14003,Ahualulco de Mercado,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
531,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
532,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,5.0
534,2015,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
630,2015,14007,San Juanito de Escobedo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
728,2015,14008,Arandas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,7.0
730,2015,14008,Arandas,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
825,2015,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
826,2015,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1217,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
1218,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1220,2015,14013,Atotonilco el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
1416,2015,14015,Autlán de Navarro,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
1610,2015,14017,Ayutla,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
1707,2015,14018,La Barca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
1708,2015,14018,La Barca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2100,2015,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2102,2015,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
2198,2015,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,15.0
2200,2015,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,9.0
2296,2015,14024,Cocula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2492,2015,14026,Concepción de Buenos Aires,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
2884,2015,14030,Chapala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,6.0
2886,2015,14030,Chapala,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
3178,2015,14033,Degollado,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
3180,2015,14033,Degollado,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
3374,2015,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
3376,2015,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
3570,2015,14037,El Grullo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
3765,2015,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,60.0
3766,2015,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,115.0
3767,2015,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,9.0
3768,2015,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,4.0
3864,2015,14040,Hostotipaquillo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
4255,2015,14044,Ixtlahuacán de los Membrillos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
4256,2015,14044,Ixtlahuacán de los Membrillos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
4258,2015,14044,Ixtlahuacán de los Membrillos,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
4452,2015,14046,Jalostotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,3.0
4454,2015,14046,Jalostotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
4552,2015,14047,Jamay,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
4648,2015,14048,Jesús María,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
4844,2015,14050,Jocotepec,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
4846,2015,14050,Jocotepec,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
4944,2015,14051,Juanacatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
5137,2015,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
5138,2015,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,15.0
5139,2015,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
5140,2015,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,5.0
5630,2015,14058,Mascota,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
6118,2015,14063,Ocotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
6119,2015,14063,Ocotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,2.0
6120,2015,14063,Ocotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,9.0
6215,2015,14064,Ojuelos de Jalisco,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
6216,2015,14064,Ojuelos de Jalisco,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
6412,2015,14066,Poncitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
6414,2015,14066,Poncitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
6509,2015,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
6510,2015,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,21.0
6512,2015,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,10.0
6803,2015,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
6804,2015,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,27.0
6806,2015,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
7100,2015,14073,San Juan de los Lagos,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,3.0
7196,2015,14074,San Julián,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
7490,2015,14077,San Martín Hidalgo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
7588,2015,14078,San Miguel el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
7590,2015,14078,San Miguel el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
7686,2015,14079,Gómez Farías,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
7688,2015,14079,Gómez Farías,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
7979,2015,14082,Sayula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
7980,2015,14082,Sayula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
8078,2015,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,6.0
8080,2015,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,6.0
8176,2015,14084,Talpa de Allende,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
8274,2015,14085,Tamazula de Gordiano,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
8276,2015,14085,Tamazula de Gordiano,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
8470,2015,14087,Tecalitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
9057,2015,14093,Tepatitlán de Morelos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
9058,2015,14093,Tepatitlán de Morelos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,7.0
9060,2015,14093,Tepatitlán de Morelos,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,3.0
9155,2015,14094,Tequila,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
9156,2015,14094,Tequila,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
9158,2015,14094,Tequila,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
9449,2015,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,4.0
9450,2015,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,29.0
9451,2015,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
9452,2015,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,5.0
9547,2015,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,19.0
9548,2015,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,20.0
9549,2015,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,3.0
9550,2015,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
9746,2015,14100,Tomatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
9841,2015,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,4.0
9842,2015,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,14.0
9843,2015,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,5.0
10234,2015,14105,Tototlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
11312,2015,14116,Villa Hidalgo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
11608,2015,14119,Zacoalco de Torres,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
11703,2015,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,58.0
11704,2015,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,81.0
11705,2015,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,4.0
11706,2015,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
11802,2015,14121,Zapotiltic,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,3.0
11804,2015,14121,Zapotiltic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
12096,2015,14124,Zapotlanejo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,4.0
12098,2015,14124,Zapotlanejo,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
12392,2016,14001,Acatic,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
12488,2016,14002,Acatlán de Juárez,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
12588,2016,14003,Ahualulco de Mercado,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
12781,2016,14005,Amatitán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
12879,2016,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
12882,2016,14006,Ameca,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,4.0
13076,2016,14008,Arandas,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,6.0
13173,2016,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
13174,2016,14009,El Arenal,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
13764,2016,14015,Autlán de Navarro,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
13860,2016,14016,Ayotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
14056,2016,14018,La Barca,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
14448,2016,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
14450,2016,14022,Cihuatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
14546,2016,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,17.0
14548,2016,14023,Zapotlán el Grande,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,8.0
14644,2016,14024,Cocula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
14646,2016,14024,Cocula,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
14742,2016,14025,Colotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
14840,2016,14026,Concepción de Buenos Aires,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,3.0
15232,2016,14030,Chapala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
15428,2016,14032,Chiquilistlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
15721,2016,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
15722,2016,14035,Encarnación de Díaz,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
15819,2016,14036,Etzatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
15920,2016,14037,El Grullo,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,4.0
16113,2016,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,95.0
16114,2016,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,147.0
16115,2016,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,11.0
16116,2016,14039,Guadalajara,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,8.0
16214,2016,14040,Hostotipaquillo,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
16604,2016,14044,Ixtlahuacán de los Membrillos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
16702,2016,14045,Ixtlahuacán del Río,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
16800,2016,14046,Jalostotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,3.0
16802,2016,14046,Jalostotitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
16897,2016,14047,Jamay,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
16900,2016,14047,Jamay,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
16995,2016,14048,Jesús María,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
16998,2016,14048,Jesús María,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
17192,2016,14050,Jocotepec,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
17194,2016,14050,Jocotepec,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
17289,2016,14051,Juanacatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
17290,2016,14051,Juanacatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
17292,2016,14051,Juanacatlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
17485,2016,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
17486,2016,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,8.0
17487,2016,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
17488,2016,14053,Lagos de Moreno,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,14.0
17682,2016,14055,Magdalena,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
18074,2016,14059,Mazamitla,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
18466,2016,14063,Ocotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
18468,2016,14063,Ocotlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,3.0
18564,2016,14064,Ojuelos de Jalisco,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
18762,2016,14066,Poncitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
18857,2016,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
18858,2016,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,19.0
18860,2016,14067,Puerto Vallarta,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,14.0
19151,2016,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,3.0
19152,2016,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,16.0
19153,2016,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
19154,2016,14070,El Salto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,4.0
19445,2016,14073,San Juan de los Lagos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
19446,2016,14073,San Juan de los Lagos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
19448,2016,14073,San Juan de los Lagos,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,4.0
19544,2016,14074,San Julián,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
19837,2016,14077,San Martín Hidalgo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,2.0
19938,2016,14078,San Miguel el Alto,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
20328,2016,14082,Sayula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,4.0
20425,2016,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,3.0
20426,2016,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,3.0
20427,2016,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,1.0
20428,2016,14083,Tala,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,3.0
21406,2016,14093,Tepatitlán de Morelos,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,7.0
21408,2016,14093,Tepatitlán de Morelos,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,6.0
21504,2016,14094,Tequila,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
21506,2016,14094,Tequila,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,2.0
21602,2016,14095,Teuchitlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
21797,2016,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,6.0
21798,2016,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,53.0
21799,2016,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,2.0
21800,2016,14097,Tlajomulco de Zúñiga,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,6.0
21895,2016,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,21.0
21896,2016,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,20.0
21897,2016,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,3.0
21898,2016,14098,San Pedro Tlaquepaque,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,3.0
22189,2016,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,14.0
22190,2016,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,12.0
22191,2016,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,7.0
22192,2016,14101,Tonalá,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
22581,2016,14105,Tototlán,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,1.0
22876,2016,14108,Tuxpan,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,2.0
22974,2016,14109,Unión de San Antonio,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
23072,2016,14110,Unión de Tula,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
23660,2016,14116,Villa Hidalgo,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,1.0
23662,2016,14116,Villa Hidalgo,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
23858,2016,14118,Yahualica de González Gallo,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Sin violencia,Enero,1.0
24051,2016,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Con violencia,Enero,57.0
24052,2016,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de coche de 4 ruedas Sin violencia,Enero,83.0
24053,2016,14120,Zapopan,El patrimonio,Robo,Robo de vehículo automotor,Robo de motocicleta Con violencia,Enero,5.0
